depth_below_mudline,relative_depth,scour_depth,spring_type,k_intact,k_scoured,alpha_fem,alpha,depth_below_scour
8.910236692428576,0.9580899669278038,0.5,p-y,457865.47793656687,433248.9638248393,0.9462363613376897,0.971537321932055,8.410236692428576
8.453301477432237,0.9089571481109933,0.5,p-y,415677.8562687783,399227.85213775217,0.9604260754260878,0.9699750059244279,7.9533014774322375
7.996366262435899,0.8598243292941826,0.5,p-y,379388.3016725353,383949.36111005326,1.0120221404229137,0.9682311699820668,7.496366262435899
7.539431047439562,0.8106915104773722,0.5,p-y,389755.1707250819,349465.4124452493,0.8966280339401799,0.9662722175636835,7.039431047439562
7.082495832443224,0.7615586916605617,0.5,p-y,337559.0377708627,339960.76825363,1.007114993864859,0.9640557129592344,6.582495832443224
6.625560617446885,0.712425872843751,0.5,p-y,345787.7808456466,299150.7337282922,0.8651281227945637,0.9615272683989827,6.125560617446885
6.168625402450546,0.6632930540269404,0.5,p-y,289617.3776376781,293500.606294112,1.0134081341669074,0.9586160152816271,5.668625402450546
5.711690187454208,0.6141602352101299,0.5,p-y,291623.584152423,268509.35782024974,0.9207395163208331,0.9552278460842621,5.211690187454208
5.25475497245787,0.5650274163933193,0.5,p-y,256644.1875540252,236829.40609894425,0.922792790891047,0.9512350312681488,4.75475497245787
4.797819757461532,0.5158945975765088,0.5,p-y,235952.1229258083,231098.5414557971,0.9794298037677018,0.9464597178651627,4.297819757461532
4.340884542465194,0.4667617787596982,0.5,p-y,221233.08465877816,201044.9590940633,0.9087472581424596,0.940646640639173,3.8408845424651936
3.883949327468855,0.4176289599428876,0.5,p-y,180954.8842225296,173416.86664327324,0.958343110706056,0.9334158000518521,3.383949327468855
3.427014112472517,0.36849614112607704,0.5,p-y,165200.02270656172,157008.80919442652,0.9504163899136688,0.9241755225918745,2.927014112472517
2.9700788974761787,0.3193633223092665,0.5,p-y,133842.3035374303,133472.17985818052,0.9972346285929974,0.9119508230824335,2.4700788974761787
2.5131436824798405,0.270230503492456,0.5,p-y,123833.09527315934,104889.9371286326,0.8470266926402781,0.8950117291445485,2.0131436824798405
2.0562084674835024,0.2210976846756454,0.5,p-y,98673.55127056425,86628.36906927329,0.8779289683386088,0.8699620648414924,1.5562084674835024
1.5992732524871638,0.1719648658588348,0.5,p-y,76662.64345298543,61727.31521361151,0.8051811473402526,0.8290705594967217,1.0992732524871638
1.1423380374908252,0.1228320470420242,0.5,p-y,54483.93070396551,39093.5025373674,0.7175235345955326,0.749867448069249,0.6423380374908252
0.6854028224944875,0.0736992282252137,0.5,p-y,29306.006787184157,26668.237574912568,0.9099921995027616,0.5200980511305583,0.18540282249448747
0.2284676074981501,0.024566409408403236,0.5,p-y,12891.452101880252,13870.499281624036,1.0759454537787088,0.0,0.0
8.897997307777391,0.956773904062085,0.0,p-y,457865.47793656687,457865.47793656687,1.0,1.0,8.897997307777391
8.441689753532398,0.9077085756486448,0.0,p-y,415677.8562687783,415677.8562687783,1.0,1.0,8.441689753532398
7.985382199287401,0.8586432472352044,0.0,p-y,379388.3016725353,379388.3016725353,1.0,1.0,7.985382199287401
7.529074645042406,0.809577918821764,0.0,p-y,389755.1707250819,389755.1707250819,1.0,1.0,7.529074645042406
7.07276709079741,0.7605125904083236,0.0,p-y,337559.0377708627,337559.0377708627,1.0,1.0,7.07276709079741
6.616459536552415,0.7114472619948833,0.0,p-y,345787.7808456466,345787.7808456466,1.0,1.0,6.616459536552415
6.160151982307419,0.6623819335814429,0.0,p-y,289617.3776376781,289617.3776376781,1.0,1.0,6.160151982307419
5.703844428062424,0.6133166051680026,0.0,p-y,291623.584152423,291623.584152423,1.0,1.0,5.703844428062424
5.247536873817428,0.5642512767545621,0.0,p-y,256644.1875540252,256644.1875540252,1.0,1.0,5.247536873817428
4.791229319572433,0.5151859483411217,0.0,p-y,235952.1229258083,235952.1229258083,1.0,1.0,4.791229319572433
4.334921765327437,0.46612061992768133,0.0,p-y,221233.08465877816,221233.08465877816,1.0,1.0,4.334921765327437
3.878614211082442,0.41705529151424103,0.0,p-y,180954.8842225296,180954.8842225296,1.0,1.0,3.878614211082442
3.4223066568374465,0.3679899631008007,0.0,p-y,165200.02270656172,165200.02270656172,1.0,1.0,3.4223066568374465
2.965999102592451,0.3189246346873603,0.0,p-y,133842.3035374303,133842.3035374303,1.0,1.0,2.965999102592451
2.509691548347456,0.26985930627391996,0.0,p-y,123833.09527315934,123833.09527315934,1.0,1.0,2.509691548347456
2.05338399410246,0.22079397786047955,0.0,p-y,98673.55127056425,98673.55127056425,1.0,1.0,2.05338399410246
1.5970764398574646,0.1717286494470392,0.0,p-y,76662.64345298543,76662.64345298543,1.0,1.0,1.5970764398574646
1.1407688856124691,0.12266332103359882,0.0,p-y,54483.93070396551,54483.93070396551,1.0,1.0,1.1407688856124691
0.6844613313674737,0.07359799262015845,0.0,p-y,29306.006787184157,29306.006787184157,1.0,1.0,0.6844613313674737
0.2281537771224785,0.024532664206718117,0.0,p-y,12891.452101880252,12891.452101880252,1.0,1.0,0.2281537771224785
8.9112846136093,0.9582026466246559,1.0,p-y,457865.47793656687,399855.6977066956,0.8733038784856629,0.9422222315029835,7.9112846136093005
8.454295659065231,0.9090640493618527,1.0,p-y,415677.8562687783,368945.2475708381,0.8875749381566219,0.9389978356478527,7.454295659065231
7.997306704521164,0.8599254520990498,1.0,p-y,379388.3016725353,344139.409825936,0.9070901983766912,0.9353918446756496,6.997306704521164
7.540317749977096,0.8107868548362469,1.0,p-y,389755.1707250819,328037.99321739795,0.841651420832036,0.9313321610369839,6.540317749977096
7.083328795433029,0.7616482575734439,1.0,p-y,337559.0377708627,272316.06433473894,0.8067212957266127,0.9267272732404838,6.083328795433029
6.626339840888962,0.712509660310641,1.0,p-y,345787.7808456466,301112.84816242737,0.8708024541122774,0.9214592364363132,5.626339840888962
6.169350886344894,0.663371063047838,1.0,p-y,289617.3776376781,248539.3296960646,0.8581644227405317,0.9153733625624515,5.169350886344894
5.712361931800826,0.614232465785035,1.0,p-y,291623.584152423,253383.8093695698,0.8688728317567538,0.9082626626257408,4.712361931800826
5.255372977256759,0.5650938685222321,1.0,p-y,256644.1875540252,216611.2441599009,0.8440138318515508,0.8998436242891946,4.255372977256759
4.798384022712691,0.5159552712594291,1.0,p-y,235952.1229258083,188107.15547090085,0.7972259504952554,0.8897170927563757,3.798384022712691
4.341395068168623,0.4668166739966261,1.0,p-y,221233.08465877816,186907.6128668978,0.8448447625054692,0.8773022826585457,3.341395068168623
3.884406113624556,0.4176780767338232,1.0,p-y,180954.8842225296,155494.7233924686,0.8593010576119552,0.8617194373494672,2.884406113624556
3.4274171590804885,0.3685394794710202,1.0,p-y,165200.02270656172,141650.9507329152,0.857451157767237,0.8415670544882325,2.4274171590804885
2.9704282045364208,0.3194008822082173,1.0,p-y,133842.3035374303,113917.19527874634,0.8511299661462288,0.8144619086337825,1.9704282045364208
2.513439249992353,0.27026228494541427,1.0,p-y,123833.09527315934,89519.28478849203,0.7229027473715681,0.7759760193108118,1.513439249992353
2.0564502954482853,0.22112368768261131,1.0,p-y,98673.55127056425,62746.78132374062,0.6359027370129618,0.7167462442640802,1.0564502954482853
1.5994613409042175,0.17198509041980833,1.0,p-y,76662.64345298543,33738.49188284333,0.4400903799193148,0.6122005516402014,0.5994613409042175
1.1424723863601498,0.12284649315700534,1.0,p-y,54483.93070396551,12336.437620416613,0.22642341440902553,0.3531364065060262,0.1424723863601498
0.6854834318160821,0.07370789589420236,1.0,p-y,29306.006787184157,32808.81182564723,1.1195251561872595,0.0,0.0
0.2284944772720147,0.024569298631399426,1.0,p-y,12891.452101880252,10922.089913908689,0.8472350381936937,0.0,0.0
8.961878967285141,0.9636428997080796,2.0,p-y,457865.47793656687,350184.4608514942,0.7648195326488649,0.8813810265058719,6.961878967285141
8.502295430501288,0.9142253151076654,2.0,p-y,415677.8562687783,326690.2856469277,0.7859217918880167,0.8745109527770091,6.502295430501288
8.042711893717435,0.864807730507251,2.0,p-y,379388.3016725353,314881.985028468,0.8299728369069609,0.8667915887504287,6.042711893717435
7.583128356933579,0.8153901459068363,2.0,p-y,389755.1707250819,286750.7009331232,0.7357200685745,0.8580539652714728,5.583128356933579
7.123544820149725,0.765972561306422,2.0,p-y,337559.0377708627,272676.33514299773,0.8077885780919077,0.8480807181892693,5.123544820149725
6.66396128336587,0.7165549767060074,2.0,p-y,345787.7808456466,269504.80707077554,0.7793936686012558,0.8365872389222122,4.66396128336587
6.204377746582016,0.6671373921055931,2.0,p-y,289617.3776376781,222879.1545213144,0.7695641619963299,0.823193151392732,4.204377746582016
5.744794209798162,0.6177198075051786,2.0,p-y,291623.584152423,206412.45036160463,0.7078043806419955,0.8073776821660907,3.7447942097981617
5.285210673014307,0.5683022229047641,2.0,p-y,256644.1875540252,182484.7602324578,0.7110418590487019,0.7884069805764141,3.2852106730143067
4.825627136230453,0.5188846383043497,2.0,p-y,235952.1229258083,170871.95834638557,0.7241806355779802,0.7652098386809681,2.8256271362304526
4.366043599446599,0.4694670537039354,2.0,p-y,221233.08465877816,137546.80610839487,0.6217280128808133,0.7361517306949137,2.3660435994465994
3.906460062662744,0.4200494691035208,2.0,p-y,180954.8842225296,137319.61414264524,0.7588610538623328,0.6985896734512879,1.906460062662744
3.4468765258788894,0.37063188450310636,2.0,p-y,165200.02270656172,111102.84642165853,0.6725352975223625,0.6478923800291324,1.4468765258788894
2.987292989095035,0.3212142999026919,2.0,p-y,133842.3035374303,80158.53950699717,0.5989028684386029,0.574889155971506,0.9872929890950348
2.5277094523111803,0.27179671530227745,2.0,p-y,123833.09527315934,74866.60104882898,0.6045766754330352,0.4569133637291535,0.5277094523111803
